"total_count","gender","district","municipality","ward","beneficiary_type","vulnerable","benef_from","dcode"
7,"Female","Arghakhanchi","Bhumikikasthan   Municipality",1,"RCB","N","SURVEY_RCB",51
5,"Female","Arghakhanchi","Bhumikikasthan   Municipality",2,"RCB","N","SURVEY_RCB",51
4,"Female","Arghakhanchi","Bhumikikasthan   Municipality",2,"RTB","N","SURVEY_RTB",51
2,"Female","Arghakhanchi","Bhumikikasthan   Municipality",3,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Bhumikikasthan   Municipality",5,"RCB","N","SURVEY_RCB",51
2,"Female","Arghakhanchi","Bhumikikasthan   Municipality",6,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Bhumikikasthan   Municipality",6,"RCB","Y","SURVEY_RCB",51
1,"Female","Arghakhanchi","Bhumikikasthan   Municipality",7,"RCB","N","SURVEY_RCB",51
2,"Female","Arghakhanchi","Bhumikikasthan   Municipality",8,"RCB","N","SURVEY_RCB",51
9,"Female","Arghakhanchi","Bhumikikasthan   Municipality",9,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Bhumikikasthan   Municipality",9,"RTB","N","SURVEY_RTB",51
1,"Female","Arghakhanchi","Bhumikikasthan  Urban Municipality",7,"RCB","N","MANUAL",51
1,"Female","Arghakhanchi","Bhumikikasthan  Urban Municipality",9,"RCB","N","MANUAL",51
2,"Female","Arghakhanchi","Bhumikikasthan  Urban Municipality",9,"RTB","N","MANUAL",51
1,"Female","Arghakhanchi","Bhumikikasthan  Urban Municipality",9,"RTB","Y","MANUAL",51
3,"Female","Arghakhanchi","Chatradev Rural Municipality",1,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Chatradev Rural Municipality",2,"RCB","N","SURVEY_RCB",51
7,"Female","Arghakhanchi","Chatradev Rural Municipality",4,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Chatradev Rural Municipality",5,"RCB","N","SURVEY_RCB",51
4,"Female","Arghakhanchi","Chatradev Rural Municipality",6,"RCB","N","SURVEY_RCB",51
9,"Female","Arghakhanchi","Chatradev Rural Municipality",7,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Chatradev Rural Municipality",7,"RCB","Y","SURVEY_RCB",51
1,"Female","Arghakhanchi","Chatradev Rural Municipality",7,"RTB","N","SURVEY_RTB",51
15,"Female","Arghakhanchi","Chatradev Rural Municipality",8,"RCB","N","SURVEY_RCB",51
2,"Female","Arghakhanchi","Chatradev Rural Municipality",8,"RCB","Y","SURVEY_RCB",51
5,"Female","Arghakhanchi","Malarani Rural Municipality",1,"RCB","N","SURVEY_RCB",51
5,"Female","Arghakhanchi","Malarani Rural Municipality",2,"RCB","N","SURVEY_RCB",51
5,"Female","Arghakhanchi","Malarani Rural Municipality",3,"RCB","N","SURVEY_RCB",51
6,"Female","Arghakhanchi","Malarani Rural Municipality",4,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Malarani Rural Municipality",4,"RCB","Y","SURVEY_RCB",51
27,"Female","Arghakhanchi","Malarani Rural Municipality",6,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Malarani Rural Municipality",6,"RCB","Y","SURVEY_RCB",51
1,"Female","Arghakhanchi","Malarani Rural Municipality",6,"RTB","N","GRIEVANCE_RTB_II",51
8,"Female","Arghakhanchi","Malarani Rural Municipality",7,"RCB","N","SURVEY_RCB",51
3,"Female","Arghakhanchi","Malarani Rural Municipality",8,"RCB","N","SURVEY_RCB",51
7,"Female","Arghakhanchi","Malarani Rural Municipality",9,"RCB","N","SURVEY_RCB",51
4,"Female","Arghakhanchi","Parini Rural Municipality",1,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Parini Rural Municipality",1,"RCB","Y","SURVEY_RCB",51
12,"Female","Arghakhanchi","Parini Rural Municipality",2,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Parini Rural Municipality",2,"RCB","Y","SURVEY_RCB",51
1,"Female","Arghakhanchi","Parini Rural Municipality",3,"RCB","N","MANUAL",51
6,"Female","Arghakhanchi","Parini Rural Municipality",3,"RCB","N","SURVEY_RCB",51
3,"Female","Arghakhanchi","Parini Rural Municipality",4,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Parini Rural Municipality",4,"RCB","Y","SURVEY_RCB",51
3,"Female","Arghakhanchi","Parini Rural Municipality",5,"RCB","N","SURVEY_RCB",51
6,"Female","Arghakhanchi","Parini Rural Municipality",7,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Parini Rural Municipality",7,"RCB","Y","SURVEY_RCB",51
1,"Female","Arghakhanchi","Parini Rural Municipality",8,"RCB","N","SURVEY_RCB",51
4,"Female","Arghakhanchi","Sandikharka   Municipality",1,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",1,"RTB","N","GRIEVANCE_RTB_II",51
7,"Female","Arghakhanchi","Sandikharka   Municipality",1,"RTB","N","SURVEY_RTB",51
